KEY_CODE,HYOSYO,CITYNAME,NAME,HTKSYORI,HTKSAKI,GASSAN,総数,農林漁業就業者世帯,農林漁業・非農林漁業就業者混合世帯,非農林漁業就業者世帯,非就業者世帯,分類不能の世帯
232381290,2,長久手市,岩作高根,0,,,6,-,-,5,1,-
232381300,2,長久手市,岩作内万場,0,,,8,1,-,4,2,1
232381310,2,長久手市,岩作大根,2,1320,,X,X,X,X,X,X
232381320,2,長久手市,岩作下堀越,1,,1310;1340,10,1,-,6,3,-
232381330,2,長久手市,岩作狐洞,0,,,5,-,-,4,-,1
232381340,2,長久手市,岩作長鶴,2,1320,,X,X,X,X,X,X
232381350,2,長久手市,岩作中根,0,,,47,-,-,34,12,1
232381360,2,長久手市,岩作中根原,0,,,42,-,-,24,17,1
232381370,2,長久手市,岩作床寒,0,,,21,-,-,11,10,-
232381380,2,長久手市,岩作福井,0,,,-,-,-,-,-,-
232381390,2,長久手市,岩作寺田,0,,,-,-,-,-,-,-
232381400,2,長久手市,岩作三ケ峯,0,,,720,1,2,453,241,23
232381410,2,長久手市,前熊下田,0,,,35,1,1,21,9,3
232381420,2,長久手市,前熊溝下,1,,1430,28,-,-,19,9,-
232381430,2,長久手市,前熊志水,2,1420,,X,X,X,X,X,X
232381440,2,長久手市,前熊広面,0,,,10,-,-,7,3,-
232381450,2,長久手市,前熊西脇,0,,,65,1,-,37,24,3
232381460,2,長久手市,前熊根ノ原,0,,,35,-,1,19,14,1
232381470,2,長久手市,前熊根ノ上,0,,,34,-,1,22,9,2
232381480,2,長久手市,前熊橋ノ本,0,,,43,1,-,29,10,3
232381490,2,長久手市,前熊前山,1,,1500,46,2,-,36,8,-
232381500,2,長久手市,前熊堀越,2,1490,,X,X,X,X,X,X
232381510,2,長久手市,前熊寺田,0,,,7,-,-,4,3,-
232381520,2,長久手市,前熊原山,0,,,66,1,2,41,19,3
232381530,2,長久手市,前熊中井,0,,,5,-,-,4,1,-
232381540,2,長久手市,前熊一ノ井,0,,,202,-,-,163,36,3
232381550,2,長久手市,立花,0,,,23,-,-,11,11,1
232381560,2,長久手市,真行田,0,,,69,-,1,41,26,1
232381570,2,長久手市,岩廻間,0,,,18,-,-,10,8,-
232381580,2,長久手市,北浦,0,,,49,-,-,33,16,-
232381590,2,長久手市,溝之杁,0,,,45,-,1,21,21,2
232381600,2,長久手市,郷前,1,,1610,57,3,2,32,15,5
232381610,2,長久手市,中井,2,1600,,X,X,X,X,X,X
232381620,2,長久手市,茨ケ廻間,0,,,16,-,-,13,3,-
232381630,2,長久手市,杁ノ洞,0,,,18,-,1,9,8,-
232381640,2,長久手市,松杁,0,,,48,1,-,34,11,2
232381650,2,長久手市,東田,0,,,14,-,-,11,3,-
232381660,2,長久手市,平地,0,,,29,3,1,17,8,-
232381670,2,長久手市,東平地,0,,,-,-,-,-,-,-
232381680,2,長久手市,馬堤,0,,,10,1,-,7,1,1
232381690,2,長久手市,東山,0,,,8,-,-,4,4,-
232381700,2,長久手市,早稲田,0,,,110,3,2,65,37,3
232381710,2,長久手市,下田,0,,,-,-,-,-,-,-
232381720,2,長久手市,小稲葉,0,,,-,-,-,-,-,-
232381730,2,長久手市,榎ノ下,0,,,-,-,-,-,-,-
232381740,2,長久手市,観音堂,0,,,17,-,-,11,5,1
232381750,2,長久手市,杁ケ根,0,,,12,-,1,7,4,-
232381760,2,長久手市,福井,0,,,9,1,1,7,-,-
232381770,2,長久手市,汐見坂,2,1810,,X,X,X,X,X,X
232381780,2,長久手市,助六,0,,,8,-,-,7,1,-
232381790,2,長久手市,大日,0,,,20,-,1,12,7,-
232381800,2,長久手市,蛭子,0,,,-,-,-,-,-,-
232381810,2,長久手市,小深,1,,1770;1850,17,1,-,13,2,1
232381820,2,長久手市,申平,0,,,5,-,-,4,1,-
232381840,2,長久手市,段留,0,,,-,-,-,-,-,-
232381850,2,長久手市,阿畑,2,1810,,X,X,X,X,X,X
232381860,2,長久手市,雨堤,0,,,-,-,-,-,-,-
232381870,2,長久手市,神門前,0,,,9,-,-,6,3,-
232381880,2,長久手市,堂脇,0,,,-,-,-,-,-,-
232381890,2,長久手市,鯉ケ廻間,0,,,-,-,-,-,-,-
232381900,2,長久手市,広田,0,,,-,-,-,-,-,-
232381910,2,長久手市,石場,0,,,46,-,-,35,11,-
232381920,2,長久手市,葭ケ廻間,0,,,-,-,-,-,-,-
232381930,2,長久手市,中屋,0,,,11,-,-,8,1,2
232381940,2,長久手市,神明,0,,,-,-,-,-,-,-
232381950,2,長久手市,北熊,0,,,19,2,1,13,2,1
232381960,2,長久手市,丸山,0,,,-,-,-,-,-,-
23302,1,東郷町,,0,,,16795,76,117,11651,4639,312
233020010,2,東郷町,大字諸輪,0,,,1354,23,22,876,402,31
233020020,3,東郷町,町丁字コード0020の計,0,,,1227,4,12,825,364,22
23302002000,4,東郷町,大字和合字ドンドロ,0,,,1172,4,12,788,346,22
23302002009,4,東郷町,大字春木字西羽根穴,0,,,55,-,-,37,18,-
233020030,2,東郷町,大字春木,0,,,853,8,19,585,215,26
233020040,2,東郷町,大字春木,0,,,862,5,8,590,231,28
233020050,2,東郷町,大字春木,0,,,499,5,10,309,168,7
233020060,2,東郷町,大字春木,0,,,1766,6,8,1318,402,32
233020070,3,東郷町,町丁字コード0070の計,0,,,986,2,1,630,339,14
23302007001,4,東郷町,和合ケ丘一丁目,0,,,286,2,-,190,93,1
23302007002,4,東郷町,和合ケ丘二丁目,0,,,398,-,1,266,120,11
23302007003,4,東郷町,和合ケ丘三丁目,0,,,255,-,-,148,105,2
23302007009,4,東郷町,大字和合字牛廻間,0,,,47,-,-,26,21,-
233020080,2,東郷町,大字諸輪,0,,,257,-,1,127,120,9
233020090,3,東郷町,白鳥,0,,,1265,4,5,868,370,18
23302009001,4,東郷町,白鳥一丁目,0,,,463,1,-,297,162,3
23302009002,4,東郷町,白鳥二丁目,0,,,350,2,3,247,91,7
23302009003,4,東郷町,白鳥三丁目,0,,,452,1,2,324,117,8
233020100,3,東郷町,御岳,0,,,905,1,3,575,311,15
23302010001,4,東郷町,御岳一丁目,0,,,480,1,1,323,145,10
23302010002,4,東郷町,御岳二丁目,0,,,425,-,2,252,166,5
233020110,3,東郷町,春木台,0,,,1203,8,3,880,290,22
23302011001,4,東郷町,春木台一丁目,0,,,350,-,1,257,89,3
23302011002,4,東郷町,春木台二丁目,0,,,210,5,-,154,47,4
23302011003,4,東郷町,春木台三丁目,0,,,214,-,1,171,40,2
23302011004,4,東郷町,春木台四丁目,0,,,189,1,-,126,58,4
23302011005,4,東郷町,春木台五丁目,0,,,240,2,1,172,56,9
233020120,3,東郷町,町丁字コード0120の計,0,,,1359,3,7,1002,333,14
23302012001,4,東郷町,北山台一丁目,0,,,219,-,1,155,60,3
23302012002,4,東郷町,北山台二丁目,0,,,378,1,3,274,96,4
23302012003,4,東郷町,北山台三丁目,0,,,270,-,-,208,61,1
23302012004,4,東郷町,北山台四丁目,0,,,321,1,1,239,76,4
23302012009,4,東郷町,大字諸輪字北山,0,,,171,1,2,126,40,2
233020130,2,東郷町,白鳥,0,,,645,-,1,384,241,19
233020140,2,東郷町,白鳥,0,,,543,1,3,360,168,11
233020150,2,東郷町,大字春木,0,,,533,1,4,363,159,6
233020160,3,東郷町,三ツ池,0,,,817,1,4,646,144,22
23302016001,4,東郷町,三ツ池一丁目,0,,,317,-,1,253,46,17
23302016002,4,東郷町,三ツ池二丁目,0,,,251,-,2,188,57,4
23302016003,4,東郷町,三ツ池三丁目,0,,,129,1,-,105,23,-
23302016004,4,東郷町,三ツ池四丁目,0,,,120,-,1,100,18,1
233020170,3,東郷町,兵庫,0,,,760,-,2,595,155,8
23302017001,4,東郷町,兵庫一丁目,0,,,344,-,1,278,62,3
23302017002,4,東郷町,兵庫二丁目,0,,,221,-,-,165,54,2
23302017003,4,東郷町,兵庫三丁目,0,,,114,-,-,93,21,-
23302017004,4,東郷町,兵庫四丁目,0,,,81,-,1,59,18,3
233020180,3,東郷町,清水,0,,,848,4,4,639,195,6
23302018001,4,東郷町,清水一丁目,0,,,249,1,-,172,74,2
23302018002,4,東郷町,清水二丁目,0,,,189,-,1,151,36,1
