KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T001100001,T001100002,T001100003,T001100004,T001100005,T001100006,T001100007,T001100008,T001100009,T001100010,T001100011,T001100012,T001100013,T001100014,T001100015,T001100016,T001100017,T001100018,T001100019,T001100020,T001100021,T001100022,T001100023,T001100024,T001100025,T001100026,T001100027,T001100028,T001100029,T001100030,T001100031,T001100032,T001100033,T001100034,T001100035,T001100036,T001100037,T001100038,T001100039,T001100040,T001100041,T001100042,T001100043,T001100044,T001100045,T001100046,T001100047,T001100048,T001100049,T001100050
,,,,Å@êlå˚ÅiëçêîÅj,Å@êlå˚ÅiëçêîÅjÅ@íj,Å@êlå˚ÅiëçêîÅjÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇPÇWçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇWçŒà»è„êlå˚Å@íj,Å@ÇPÇWçŒà»è„êlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚Å@ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@ÇWÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇWÇTçŒà»è„êlå˚Å@íj,Å@ÇWÇTçŒà»è„êlå˚Å@èó,Å@ÇXÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇXÇTçŒà»è„êlå˚Å@íj,Å@ÇXÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚Å@ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇQêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇRêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇSêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇTêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓíPêgê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓïvïwê¢ë—êîÅ@àÍî ê¢ë—êî
52393782,2,52393781,,4,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
52393783,0,,,91,46,45,4,2,2,85,43,42,46,26,20,80,40,40,79,39,40,39,17,22,20,8,12,7,1,6,1,0,1,2,1,1,39,39,13,15,4,4,0,1,2,25,19,6,0,27,1,9,7
52393784,0,,,44,19,25,0,0,0,44,19,25,22,13,9,43,18,25,43,18,25,22,6,16,12,2,10,8,0,8,2,0,2,0,0,0,20,20,6,6,6,2,0,0,0,14,9,5,0,14,0,3,2
52393785,0,,,191,104,87,25,16,9,166,88,78,83,42,41,163,86,77,159,85,74,83,46,37,31,16,15,8,2,6,1,0,1,0,0,0,85,85,28,35,10,3,5,2,2,56,47,9,4,59,0,21,21
52393786,0,,,283,135,148,16,9,7,267,126,141,131,70,61,259,122,137,254,121,133,136,56,80,71,21,50,27,3,24,4,0,4,2,2,0,117,117,29,48,20,9,6,3,2,87,65,22,3,86,2,20,21
52393787,0,,,776,376,400,63,33,30,713,343,370,373,189,184,689,329,360,683,326,357,340,154,186,173,72,101,54,19,35,6,2,4,6,2,4,313,313,86,97,66,37,16,7,4,225,167,58,15,218,6,40,58
52393790,0,,,1068,505,563,141,78,63,876,400,476,638,285,353,831,387,444,799,377,422,238,115,123,98,49,49,24,6,18,5,1,4,9,6,3,519,519,217,154,75,53,15,4,1,290,268,22,30,163,43,52,52
52393791,0,,,449,214,235,49,24,25,390,185,205,212,103,109,380,184,196,376,181,195,178,82,96,86,37,49,26,10,16,5,3,2,1,0,1,181,181,38,70,34,32,4,2,1,139,115,24,12,117,0,24,40
52393792,0,,,289,148,141,17,9,8,250,123,127,144,76,68,245,121,124,241,119,122,106,47,59,56,26,30,16,6,10,0,0,0,1,0,1,150,149,77,35,19,13,4,1,0,70,54,16,5,71,6,23,19
52393793,0,,,393,193,200,23,13,10,361,175,186,201,105,96,354,174,180,349,171,178,160,70,90,82,33,49,23,6,17,2,0,2,0,0,0,174,173,53,66,29,15,5,3,2,119,94,25,5,106,1,25,32
52393795,0,,,51,27,24,6,2,4,45,25,20,20,12,8,44,25,19,43,24,19,25,13,12,15,8,7,6,3,3,1,1,0,0,0,0,18,18,3,6,3,4,1,1,0,15,9,6,1,13,0,0,4
52393796,0,,,159,87,72,18,10,8,141,77,64,71,42,29,137,76,61,136,76,60,70,35,35,34,18,16,7,3,4,1,1,0,2,1,1,71,71,24,23,11,10,2,1,0,47,39,8,4,48,1,16,15
52393797,0,,,231,110,121,27,10,17,204,100,104,113,62,51,201,97,104,196,93,103,91,38,53,50,14,36,18,3,15,3,0,3,1,0,1,93,93,24,30,23,7,5,3,1,69,55,14,4,65,0,21,12
52394000,0,,,91,70,21,0,0,0,91,70,21,91,70,21,91,70,21,61,52,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52394001,2,52394002,,8,3,5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
52394002,1,,52394001,6,3,3,1,1,0,13,5,8,5,1,4,13,5,8,13,5,8,8,4,4,2,1,1,2,1,1,0,0,0,0,0,0,3,3,1,3,1,1,0,0,0,5,3,2,0,5,0,1,0
52394004,0,,,108,55,53,6,4,2,99,50,49,36,20,16,97,49,48,96,48,48,63,30,33,36,17,19,6,2,4,0,0,0,1,0,1,57,57,22,26,5,3,0,0,1,35,34,1,0,42,0,14,20
